,site_id,site_name,address,zip,block,lot,su_act_rec,su_aal,su_beauty,su_chi_act,su_scl_con,su_flw_bed,su_fg_coop,su_fg_ip,su_fg_org,su_inc_gen,su_mmrl,su_trees,su_wh_ak,su_cnt_gar,su_rn_gar,mg_type,src_bgs,src_bcmg,src_pp,src_pid,src_clf,src_pid_al,src_pid_rp,src_pid_g,src_pid_f,src_ggi,point_x,point_y,record
135,220,hidden harvest farm,"1825 n. calvert st. baltimore, md",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,urban farm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.613446,39.310389,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'hidden harvest', 'address': '1825 n. calvert st. baltimore, md', 'src': 'bcmg14'}, {'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'hidden harvest farm', 'address': '1825 n. calvert st. baltimore, md', 'src': 'bcmg15'}]"
261,670,whitelock community farm,"930 whitelock st. baltimore, md",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,urban farm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.634405,39.314614,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'whitelock community farm', 'address': '930 whitelock st. baltimore, md', 'src': 'bcmg15'}]"
287,755,boone street farm,2100 boone st,,4019,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,urban farm,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.608751,39.313952,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'boone street community garden', 'address': '2300 boone st., baltimore, md', 'src': 'bcmg14'}, {'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'boone street farm', 'address': '2150 boone st., baltimore, md', 'src': 'bcmg15'}, {'lot': '17', 'lot_zeroes': '17', 'block_zeroes': '4019', 'block': '4019', 'site_name': nan, 'address': '2100 boone st', 'src': 'pp'}]"
319,836,hamilton crop circle,"4500 harford rd., baltimore, md",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,urban farm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.57247,39.340422,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'hamilton crop circle', 'address': '4500 harford rd., baltimore, md', 'src': 'bcmg15'}]"
320,844,hamilton crop circle,"6101 old harford rd., baltimore, md",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,urban farm,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-76.557409,39.359713,"[{'lot': nan, 'lot_zeroes': nan, 'block_zeroes': nan, 'block': nan, 'site_name': 'hamilton crop circle', 'address': '6101 old harford rd., baltimore, md', 'src': 'bcmg15'}]"
